fecha;mes;año;ventas
2017-06-19;6;2017;22764.830000000024
2017-06-20;6;2017;10968.329999999989
2017-06-21;6;2017;6183.65
2017-06-22;6;2017;8826.809999999985
2017-06-23;6;2017;13282.979999999989
2017-06-24;6;2017;8325.64999999999
2017-06-25;6;2017;17646.179999999993
2017-06-26;6;2017;13414.759999999986
2017-06-27;6;2017;16681.60999999998
2017-06-28;6;2017;14655.819999999982
2017-06-29;6;2017;12169.529999999984
2017-06-30;6;2017;12736.88999999999
2017-07-01;7;2017;12151.749999999987
2017-07-02;7;2017;11489.43999999999
2017-07-03;7;2017;16611.04999999999
2017-07-04;7;2017;15484.239999999987
2017-07-05;7;2017;20789.56000000002
2017-07-06;7;2017;22223.720000000034
2017-07-07;7;2017;13662.869999999983
2017-07-08;7;2017;10206.859999999991
2017-07-09;7;2017;8197.37999999999
2017-07-10;7;2017;17326.92999999999
2017-07-11;7;2017;20213.790000000005
2017-07-12;7;2017;19180.220000000005
2017-07-13;7;2017;14530.999999999976
2017-07-14;7;2017;18745.15
2017-07-15;7;2017;10930.559999999983
2017-07-16;7;2017;13421.599999999979
2017-07-17;7;2017;21554.980000000003
2017-07-18;7;2017;28238.20000000005
2017-07-19;7;2017;16545.339999999975
2017-07-20;7;2017;19174.08000000002
2017-07-21;7;2017;13448.849999999979
2017-07-22;7;2017;11456.809999999987
2017-07-23;7;2017;12117.609999999984
2017-07-24;7;2017;19662.62000000001
2017-07-25;7;2017;17482.529999999995
2017-07-26;7;2017;11265.229999999987
2017-07-27;7;2017;15693.929999999986
2017-07-28;7;2017;20043.159999999993
2017-07-29;7;2017;15964.269999999982
2017-07-30;7;2017;12944.869999999983
2017-07-31;7;2017;17272.87999999999
2017-08-01;8;2017;21745.040000000026
2017-08-02;8;2017;18146.999999999993
2017-08-03;8;2017;19125.51
2017-08-04;8;2017;18361.619999999995
2017-08-05;8;2017;11946.909999999987
2017-08-06;8;2017;14181.139999999985
2017-08-07;8;2017;23257.840000000026
2017-08-08;8;2017;18661.629999999994
2017-08-09;8;2017;20756.519999999997
2017-08-10;8;2017;19961.55000000001
